Date,close,volume
2021-07-02,126.04816436767578,928200
2021-07-06,124.0279769897461,1599800
2021-07-07,121.05648040771484,2780700
2021-07-08,120.44843292236328,1458300
2021-07-09,123.27284240722656,1251600
2021-07-12,124.6261978149414,1074600
2021-07-13,124.3417739868164,1038200
2021-07-14,123.83182525634766,1114500
2021-07-15,120.75244903564453,1528600
2021-07-16,117.57503509521484,1145600
2021-07-19,117.74172973632812,1422300
2021-07-20,121.38990020751953,1324600
2021-07-21,125.97955322265625,1210000
2021-07-22,124.27313232421875,1013200
2021-07-23,126.31298828125,850000
2021-07-26,124.96942901611328,1153000
2021-07-27,121.07608032226562,2501200
2021-07-28,119.72272491455078,2342800
2021-07-29,123.22380065917969,2027600
2021-07-30,124.54772186279297,1148100
2021-08-02,124.56733703613281,1004400
2021-08-03,124.29275512695312,915300
2021-08-04,125.43035125732422,1052800
2021-08-05,124.1358413696289,912300
2021-08-06,124.42023468017578,673700
2021-08-09,123.5082015991211,650900
2021-08-10,120.11499786376953,1341600
2021-08-11,119.03624725341797,1354300
2021-08-12,116.35896301269531,1292600
2021-08-13,116.45703887939453,977700
2021-08-16,116.18244171142578,946600
2021-08-17,113.84839630126953,1087300
2021-08-18,111.80854797363281,1499400
2021-08-19,112.00467681884766,1433100
2021-08-20,111.36723327636719,1478300
2021-08-23,114.39757537841797,878300
2021-08-24,114.54466247558594,976500
2021-08-25,115.78035736083984,959100
2021-08-26,114.89773559570312,613300
2021-08-27,120.2326889038086,1406400
2021-08-30,120.83091735839844,970800
2021-08-31,119.19184112548828,1812900
2021-09-01,117.45459747314453,1251400
2021-09-02,118.63239288330078,821100
2021-09-03,119.62367248535156,761900
2021-09-07,117.93553161621094,1289400
2021-09-08,116.6301498413086,1271000
2021-09-09,116.96383666992188,764400
2021-09-10,118.73055267333984,1318800
2021-09-13,120.0555419921875,990300
2021-09-14,120.0555419921875,1197000
2021-09-15,119.96721649169922,966000
2021-09-16,120.8603744506836,854400
2021-09-17,119.1034927368164,2418000
2021-09-20,114.32366180419922,1809900
2021-09-21,113.83291625976562,1823400
2021-09-22,116.11978149414062,2282600
2021-09-23,117.5232925415039,2490700
2021-09-24,117.12088012695312,1137200
2021-09-27,115.3640365600586,2108100
2021-09-28,109.4063949584961,2404900
2021-09-29,107.14898681640625,1556000
2021-09-30,107.14898681640625,1494400
2021-10-01,107.44343566894531,1354300
2021-10-04,105.28414154052734,2350000
2021-10-05,107.45326232910156,2581800
2021-10-06,106.98213195800781,1642600
2021-10-07,109.36714172363281,1492100
2021-10-08,107.53175354003906,967300
2021-10-11,106.02027130126953,897300
2021-10-12,105.36267852783203,978100
2021-10-13,106.46194458007812,1181200
2021-10-14,110.63325500488281,1732400
2021-10-15,111.81104278564453,1428500
2021-10-18,113.6366195678711,1118000
2021-10-19,114.55918884277344,1107200
2021-10-20,114.78494262695312,884800
2021-10-21,115.3640365600586,749800
2021-10-22,113.97029876708984,1307200
2021-10-25,115.10884094238281,1159600
2021-10-26,113.01827239990234,1292500
2021-10-27,120.7916488647461,3406600
2021-10-28,134.4735870361328,5711700
2021-10-29,135.68080139160156,2347000
2021-11-01,137.02548217773438,2050400
2021-11-02,136.770263671875,1571400
2021-11-03,137.7223358154297,1260000
2021-11-04,141.9132537841797,1734100
2021-11-05,141.5501251220703,1676500
2021-11-08,141.22621154785156,1087300
2021-11-09,142.72787475585938,1075500
2021-11-10,139.38101196289062,1281700
