Date,close,volume
2021-07-02,132.46107482910156,5299600
2021-07-06,131.13800048828125,7432600
2021-07-07,129.3067626953125,5956800
2021-07-08,127.06329345703125,7770900
2021-07-09,129.3355255126953,5762900
2021-07-12,131.1571807861328,5459600
2021-07-13,130.668212890625,4950600
2021-07-14,130.05459594726562,5982300
2021-07-15,127.70563507080078,7057900
2021-07-16,122.89273071289062,8190600
2021-07-19,123.31456756591797,8934000
2021-07-20,126.52641296386719,7417600
2021-07-21,132.3076629638672,6434100
2021-07-22,131.52146911621094,5564000
2021-07-23,132.7199249267578,4345600
2021-07-26,132.76785278320312,4638200
2021-07-27,129.3355255126953,6344100
2021-07-28,131.55030822753906,5041900
2021-07-29,131.82830810546875,5382600
2021-07-30,134.15806579589844,8556400
2021-08-02,136.15225219726562,10230600
2021-08-03,136.29608154296875,5589600
2021-08-04,136.87132263183594,5434600
2021-08-05,136.40155029296875,4282200
2021-08-06,136.76588439941406,3843300
2021-08-09,136.14266967773438,4026600
2021-08-10,132.36520385742188,6403900
2021-08-11,129.25881958007812,9630600
2021-08-12,123.88982391357422,12962600
2021-08-13,124.541748046875,8812400
2021-08-16,126.25797271728516,10412000
2021-08-17,123.48717498779297,8208400
2021-08-18,122.11611938476562,6768800
2021-08-19,123.87064361572266,9020200
2021-08-20,121.95315551757812,13707600
2021-08-23,126.06620788574219,7710700
2021-08-24,126.01828002929688,6356600
2021-08-25,127.57429504394531,6735100
2021-08-26,127.25730895996094,3958700
2021-08-27,131.15696716308594,8413900
2021-08-30,130.6767120361328,4617700
2021-08-31,129.79306030273438,5586000
2021-09-01,128.1890106201172,6260300
2021-09-02,129.13990783691406,5142200
2021-09-03,130.46539306640625,4836000
2021-09-07,131.09934997558594,5550400
2021-09-08,128.28501892089844,7440600
2021-09-09,129.6681671142578,6808600
2021-09-10,131.4355010986328,9054700
2021-09-13,133.93283081054688,8507600
2021-09-14,134.6051788330078,8073200
2021-09-15,135.6521453857422,6103200
2021-09-16,138.39915466308594,8467300
