Date,close,volume
2021-07-02,40.408843994140625,940200
2021-07-06,39.669212341308594,1471200
2021-07-07,38.91154861450195,1975200
2021-07-08,39.064884185791016,1461900
2021-07-09,40.62531280517578,1281900
2021-07-12,40.28255844116211,1301200
2021-07-13,40.039024353027344,1965900
2021-07-14,38.81233215332031,1794200
2021-07-15,37.86524200439453,1894900
2021-07-16,37.27894973754883,1433600
2021-07-19,36.11540222167969,2341400
2021-07-20,37.405235290527344,2443600
2021-07-21,38.63193130493164,1774200
2021-07-22,38.63193130493164,823300
2021-07-23,38.35231018066406,954700
2021-07-26,39.22724914550781,1247400
2021-07-27,37.95545196533203,956100
2021-07-28,38.65898895263672,982200
2021-07-29,38.81267547607422,709200
2021-07-30,38.07133483886719,808400
2021-08-02,37.54695129394531,909300
2021-08-03,38.08036804199219,1352600
2021-08-04,37.438472747802734,1607900
2021-08-05,38.33352279663086,1650200
2021-08-06,38.76748275756836,1170200
2021-08-09,38.550498962402344,956900
2021-08-10,40.14170455932617,1599900
2021-08-11,39.95184326171875,1669000
2021-08-12,40.069374084472656,723000
2021-08-13,39.725807189941406,1039400
2021-08-16,38.89405822753906,1442100
2021-08-17,39.08391571044922,1951800
2021-08-18,38.38776779174805,1565800
2021-08-19,37.1762809753418,1923500
2021-08-20,37.836265563964844,1007700
2021-08-23,38.93925857543945,1082400
2021-08-24,39.69870376586914,1188400
2021-08-25,40.10554504394531,1281900
2021-08-26,39.39130783081055,1193900
2021-08-27,40.81977081298828,1406500
2021-08-30,39.94280242919922,1009200
2021-08-31,39.70772933959961,1926000
2021-09-01,39.59020233154297,1461600
2021-09-02,40.7293586730957,983300
2021-09-03,40.7293586730957,730700
2021-09-07,40.1597785949707,1411600
2021-09-08,40.05128860473633,1178900
2021-09-09,39.743892669677734,1229000
2021-09-10,39.31898498535156,898600
2021-09-13,40.4490966796875,956000
2021-09-14,39.96088790893555,896200
2021-09-15,42.23015594482422,1250100
2021-09-16,41.78715133666992,1226500
2021-09-17,40.7203254699707,3298200
2021-09-20,39.88855743408203,1470900
2021-09-21,40.4490966796875,1263200
2021-09-22,41.60633850097656,1053100
2021-09-23,42.89013671875,1210500
2021-09-24,42.8720588684082,832700
2021-09-27,44.71641540527344,1642500
2021-09-28,44.58983612060547,1639000
2021-09-29,44.7525749206543,1712800
2021-09-30,44.490394592285156,2588800
2021-10-01,45.900760650634766,1730200
2021-10-04,47.07609558105469,2004000
2021-10-05,47.211708068847656,1347600
2021-10-06,46.9043083190918,1646500
2021-10-07,47.2930793762207,1210800
2021-10-08,47.65470504760742,777300
2021-10-11,47.93497085571289,857000
2021-10-12,48.6130485534668,1319500
2021-10-13,49.028934478759766,887400
2021-10-14,49.91494369506836,937600
2021-10-15,50.366981506347656,959900
2021-10-18,50.954647064208984,1095400
2021-10-19,50.809993743896484,788400
2021-10-20,51.3253173828125,943000
2021-10-21,50.35795211791992,1018600
2021-10-22,50.81903839111328,710000
2021-10-25,51.343406677246094,1076800
2021-10-26,50.800941467285156,745600
2021-10-27,49.56234359741211,950100
2021-10-28,50.03333282470703,881700
2021-10-29,49.51705551147461,1090800
2021-11-01,50.58583450317383,1375200
2021-11-02,50.359397888183594,1476000
2021-11-03,49.79784393310547,1301200
2021-11-04,50.70357894897461,1559500
2021-11-05,51.33760452270508,1227600
2021-11-08,52.379215240478516,1561300
2021-11-09,51.844818115234375,1465100
2021-11-10,49.66197204589844,1391400
2021-11-11,50.042396545410156,1507600
2021-11-12,49.109474182128906,1715700
2021-11-15,49.942752838134766,1181000
2021-11-16,49.5261116027832,1089500
2021-11-17,49.471771240234375,1031800
2021-11-18,49.41742706298828,1188500
2021-11-19,48.50261306762695,1456900
2021-11-22,48.73811721801758,941500
2021-11-23,50.33222198486328,1482700
2021-11-24,51.32854461669922,1161000
2021-11-26,49.335906982421875,846600
2021-11-29,48.87397384643555,1609800
2021-11-30,46.76359939575195,1824400
2021-12-01,46.05710983276367,1391100
2021-12-02,47.49724197387695,1562400
2021-12-03,46.41034698486328,1302900
2021-12-06,47.325164794921875,1442500
2021-12-07,48.34864807128906,1429000
2021-12-08,48.10409164428711,1286800
2021-12-09,47.261749267578125,977600
2021-12-10,47.2889289855957,1417500
2021-12-13,45.91218566894531,1473300
2021-12-14,45.6495361328125,1149900
2021-12-15,46.120513916015625,1728000
2021-12-16,45.64046859741211,1344800
2021-12-17,45.08796691894531,4202300
2021-12-20,44.363372802734375,1128600
2021-12-21,45.7853889465332,1286100
2021-12-22,46.084285736083984,1259000
2021-12-23,46.02089309692383,612000
2021-12-27,47.58782196044922,852100
2021-12-28,47.406673431396484,934200
2021-12-29,47.04436492919922,665300
2021-12-30,46.64584732055664,770000
2021-12-31,47.316097259521484,1352800
2022-01-03,48.22184371948242,1433200
2022-01-04,49.245338439941406,1784600
2022-01-05,48.96454620361328,2019400
2022-01-06,50.32317352294922,1192800
2022-01-07,50.64018630981445,1388400
2022-01-10,49.42647171020508,1287900
2022-01-11,51.08399200439453,1827500
2022-01-12,51.60026931762695,1519200
2022-01-13,51.727081298828125,1525700
2022-01-14,52.333919525146484,1778800
2022-01-18,52.01691436767578,1496800
2022-01-19,51.00247573852539,1300800
2022-01-20,50.32317352294922,1486900
2022-01-21,50.22353744506836,1384900
2022-01-24,50.32317352294922,2026100
2022-01-25,51.50969314575195,1489900
2022-01-26,51.95350646972656,1831500
2022-01-27,52.297698974609375,1632600
2022-01-28,52.80800247192383,1327300
2022-01-31,53.837738037109375,2437600
2022-02-01,55.341331481933594,1846200
2022-02-02,55.82429885864258,1419800
2022-02-03,54.96770477294922,1755600
2022-02-04,55.64205551147461,1587700
2022-02-07,56.05211639404297,1397100
2022-02-08,55.997440338134766,1048000
2022-02-09,56.86315155029297,992200
2022-02-10,56.617103576660156,1218300
2022-02-11,58.37584686279297,1343900
2022-02-14,56.99073028564453,1410500
2022-02-15,56.89960479736328,881500
2022-02-16,57.39167404174805,1178600
2022-02-17,56.91781234741211,1220400
2022-02-18,56.580657958984375,1048100
2022-02-22,55.3960075378418,1672700
2022-02-23,55.71495056152344,1341200
2022-02-24,56.58976364135742,2164900
2022-02-25,58.084251403808594,3044800
2022-02-28,59.56962585449219,3683000
2022-03-01,59.733646392822266,3383400
2022-03-02,61.59264373779297,2192700
2022-03-03,61.97538375854492,1571900
