x,z
-0.119999,0
-0.107807,0.00275649
-0.0961302,0.00721837
-0.0869855,-0.00130363
-0.0767258,-0.00844437
-0.0659602,-0.00209221
-0.0536784,-0.00441796
-0.0460346,-0.0143085
-0.0335347,-0.0143405
-0.0215264,-0.010869
-0.0103624,-0.0164918
-0.000624718,-0.0243294
0.0118127,-0.0230802
0.0239543,-0.0201082
0.0335251,-0.0281487
0.0445213,-0.0340929
0.0562128,-0.0296706
0.0686744,-0.0286907
0.0757923,-0.0389661
0.0878763,-0.0421642
0.0993821,-0.0372791
0.111164,-0.041455
0.120002,-0.0502944
0.131805,-0.054412
0.144297,-0.0539668
