x,z
-0.119999,0
-0.11558,-0.00441942
-0.11116,-0.00883883
-0.106741,-0.0132583
-0.102321,-0.0176777
-0.0979019,-0.0220971
-0.0934825,-0.0265165
-0.0890631,-0.0309359
-0.0846437,-0.0353553
-0.0802242,-0.0397748
-0.0758048,-0.0441942
-0.0713854,-0.0486136
-0.066966,-0.053033
-0.0625466,-0.0574524
-0.0581272,-0.0618718
-0.0537077,-0.0662913
-0.0492883,-0.0707107
-0.0448689,-0.0751301
-0.0404495,-0.0795495
-0.0360301,-0.0839689
-0.0316107,-0.0883883
-0.0271912,-0.0928078
-0.0227718,-0.0972272
-0.0183524,-0.101647
-0.013933,-0.106066
