x,z
-0.119999,0
-0.0957024,-0.00588857
-0.0717116,-0.0129201
-0.0472813,-0.0182268
-0.0260485,-0.031424
-0.0010684,-0.0304261
0.0176293,-0.0470212
0.0424668,-0.0498664
0.0674613,-0.0503907
0.0554203,-0.0722999
0.0796026,-0.0786414
0.0880424,-0.102174
0.0822658,-0.126497
