x,z
-0.079999,0
-0.0753193,-0.011591
-0.0649367,-0.00463015
-0.0535474,-0.00978121
-0.0414458,-0.0129118
-0.0366869,-0.0244705
-0.0255137,-0.018866
-0.0146632,-0.0250721
-0.0169767,-0.0373562
-0.00654442,-0.0304702
-8.28781e-006,-0.0411252
0.0124668,-0.0419135
0.0238236,-0.0366911
0.0152555,-0.0457926
0.0241968,-0.0370575
0.0366745,-0.0378046
0.0317138,-0.0492781
0.0406832,-0.0405718
0.0520665,-0.0457362
0.0513852,-0.0582176
0.0622851,-0.0520985
0.0747367,-0.0531974
0.0717361,-0.0653319
0.0815637,-0.0730564
0.0906041,-0.0644239
