x,z
-0.119999,0
-0.108128,-0.0039159
-0.0960736,-0.00722278
-0.0868061,-0.0156111
-0.0768689,-0.0231941
-0.0646829,-0.0259785
-0.0531377,-0.03077
-0.0446145,-0.0399135
-0.0336006,-0.045825
-0.0213538,-0.0483281
-0.0106876,-0.0548459
-0.00193307,-0.0637683
0.00981783,-0.0680304
0.0219073,-0.0712075
0.0314435,-0.079289
0.0412026,-0.0871
0.0529495,-0.0913732
0.0636414,-0.0978486
0.0711575,-0.107837
0.0809927,-0.115551
0.0923854,-0.120695
0.101195,-0.129563
0.107705,-0.140234
0.117182,-0.148385
0.128233,-0.154226
