x,z
-0.119999,0
-0.107802,0.00273383
-0.0961335,0.00721774
-0.0869786,-0.00129324
-0.0767245,-0.0084419
-0.0659594,-0.00208865
-0.053674,-0.00439484
-0.0460216,-0.0142787
-0.0335217,-0.014318
-0.021514,-0.0108443
-0.0103421,-0.0164513
-0.000598016,-0.024281
0.0118398,-0.0230358
0.0239812,-0.0200631
0.0335606,-0.0280933
0.0445631,-0.0340259
0.0562561,-0.0296075
0.0687178,-0.0286294
0.0758473,-0.0388968
0.0879331,-0.0420879
0.0994422,-0.0372102
0.111224,-0.0413849
0.120076,-0.0502109
0.13188,-0.0543242
0.144372,-0.0538902
