x,z
-0.119999,0
-0.10695,0.00651077
-0.107992,-0.00803527
-0.0941038,-0.00358633
-0.0806184,-0.00913772
-0.0692906,-0.0183221
-0.0547072,-0.0183056
-0.0416997,-0.0248993
-0.0279832,-0.0298522
-0.0136339,-0.0324547
-0.00228728,-0.0416159
0.012177,-0.0397561
0.0243045,-0.0478553
0.0341732,-0.0585922
0.0487256,-0.057643
0.0610603,-0.0654231
0.0531276,-0.0776601
0.0671384,-0.0736141
0.0756836,-0.0854315
0.0634797,-0.0934152
0.0779725,-0.0917923
0.0907201,-0.0988756
0.0776927,-0.10543
0.0828728,-0.119062
0.0949937,-0.110953
