x,z
-0.119999,0
-0.115305,-0.0159919
-0.107539,-0.0307388
-0.102286,-0.0149215
-0.105008,-0.0313644
-0.0940325,-0.0439069
-0.0778775,-0.0480048
-0.0872518,-0.0617852
-0.0723519,-0.0543173
-0.0713432,-0.0709534
-0.0615852,-0.0844649
-0.0454597,-0.0886777
-0.0312373,-0.0973667
-0.0369697,-0.0817169
-0.0204446,-0.0838846
-0.0117544,-0.0696628
-0.0278775,-0.065441
-0.0408151,-0.054934
-0.0479599,-0.0398765
-0.0525184,-0.0238453
-0.0651589,-0.0129827
-0.0587375,0.00239721
-0.0629622,0.0185195
-0.0743758,0.0306648
-0.0871478,0.0413724
