x,z
-0.119999,0
-0.113622,-0.0107512
-0.106663,-0.0211344
-0.0998042,-0.0315849
-0.0929296,-0.0420248
-0.0860576,-0.0524663
-0.0791854,-0.0629077
-0.0723132,-0.0733491
-0.0654412,-0.0837906
-0.0585692,-0.0942322
-0.0516967,-0.104673
-0.0448362,-0.115122
-0.0378046,-0.125457
-0.0303222,-0.13547
-0.0215893,-0.144414
-0.0111811,-0.151336
0.0012851,-0.150417
0.0124017,-0.144701
0.0183282,-0.133695
0.0220555,-0.121764
0.0225651,-0.109274
0.0106021,-0.10565
0.00241286,-0.0962061
0.0131409,-0.102622
0.0235749,-0.109505
