x,z
-0.119999,0
-0.0982173,-0.0122703
-0.0766025,-0.024832
-0.0549771,-0.0373757
-0.0333525,-0.0499206
-0.0117343,-0.0624766
0.0099082,-0.0749907
0.0324638,-0.0857724
0.0554265,-0.0956574
0.0769906,-0.108306
0.101975,-0.10743
0.0800657,-0.0953894
0.0588269,-0.108577
