x,z
-0.119999,0
-0.113375,-0.00505694
-0.106916,-0.0103221
-0.101152,-0.0163408
-0.0950872,-0.0220554
-0.088459,-0.0271063
-0.0821581,-0.0325601
-0.0763698,-0.0385551
-0.0701493,-0.0441003
-0.0635596,-0.0492013
-0.0574055,-0.0548202
-0.0515438,-0.0607434
-0.0451964,-0.0661429
-0.0386838,-0.071342
-0.0326501,-0.07709
-0.0266774,-0.0829012
-0.020239,-0.0881919
-0.0138355,-0.0935249
-0.0078837,-0.0993576
-0.00177622,-0.105027
0.00471257,-0.110256
0.0109838,-0.115744
0.0169012,-0.121611
0.0229167,-0.127378
0.0290725,-0.132995
