x,z
-0.149999,0
-0.137565,-0.001286
-0.125208,-0.00316625
-0.117441,-0.0129606
-0.106915,-0.0197024
-0.0944481,-0.0187917
-0.0844571,-0.0263038
-0.0748188,-0.0342633
-0.0625574,-0.0366935
-0.0508359,-0.0410362
-0.0397163,-0.046746
-0.0289824,-0.0531519
-0.0174008,-0.0578546
-0.0054675,-0.0615757
0.00538407,-0.06778
0.015917,-0.0745111
0.0274586,-0.0793113
0.0393678,-0.0831088
0.0502862,-0.0891947
0.0601959,-0.0968135
0.0719745,-0.100999
0.0834687,-0.105911
0.0919487,-0.115095
0.101518,-0.123137
0.112506,-0.129098
