x,z
-0.119999,0
-0.112392,-0.00991881
-0.104621,-0.0197095
-0.0968698,-0.0295163
-0.0891178,-0.0393222
-0.0813656,-0.049128
-0.0736132,-0.0589337
-0.0658632,-0.0687412
-0.0581007,-0.0785388
-0.0504057,-0.0883896
-0.0423695,-0.097964
-0.0360779,-0.108765
-0.0312186,-0.120282
-0.0267814,-0.131968
-0.02343,-0.14401
-0.0164407,-0.154374
-0.00552128,-0.160458
0.00679843,-0.158342
0.0159194,-0.149795
0.0142637,-0.137405
0.0238754,-0.129414
0.0223375,-0.117009
0.0171632,-0.128387
0.0052274,-0.124674
0.0166645,-0.129718
