x,z
-0.119999,0
-0.107805,0.00274752
-0.0961313,0.00721756
-0.0869826,-0.00130021
-0.0767252,-0.00844403
-0.0659596,-0.0020917
-0.0536765,-0.00441012
-0.0460294,-0.0142981
-0.0335295,-0.014333
-0.0215214,-0.0108609
-0.0103544,-0.0164778
-0.000614354,-0.0243124
0.0118232,-0.0230649
0.0239647,-0.0200927
0.0335388,-0.0281293
0.0445373,-0.0340692
0.0562294,-0.0296484
0.068691,-0.0286692
0.0758132,-0.0389417
0.0878979,-0.0421371
0.0994049,-0.0372547
0.111187,-0.0414302
0.12003,-0.0502646
0.131833,-0.0543806
0.144325,-0.0539396
