x,z
-0.179999,0
-0.170864,-0.00853285
-0.160055,-0.0148098
-0.150133,-0.0224136
-0.141837,-0.0317634
-0.131754,-0.0391517
-0.120861,-0.0452835
-0.111963,-0.0540622
-0.103374,-0.0631443
-0.0925169,-0.0693387
-0.0821024,-0.0762516
-0.0740399,-0.0858039
-0.0645174,-0.0939015
-0.0533606,-0.0995384
-0.0438997,-0.107708
-0.0359093,-0.117321
-0.0254176,-0.124116
-0.0144875,-0.130181
-0.00605215,-0.139405
0.00269649,-0.148334
0.0137403,-0.154189
0.0239354,-0.161421
0.0319062,-0.17105
0.0397295,-0.1808
0.0487984,-0.189402
