x,z
-0.119999,0
-0.0956337,-0.00559747
-0.0742749,-0.0185898
-0.0517214,-0.0293759
-0.028285,-0.0380786
-0.00738456,-0.0517962
0.0172253,-0.0561954
0.0317502,-0.0765431
0.0536313,-0.0644511
0.0359934,-0.0821685
0.0599776,-0.0751144
0.0798032,-0.0903442
0.0625084,-0.108397
