x,z
-0.119999,0
-0.108908,-0.0151177
-0.102821,-0.0328521
-0.0966488,-0.0505573
-0.0847949,-0.0650847
-0.0740793,-0.080471
-0.0729626,-0.0991877
-0.0590821,-0.0865824
-0.0406244,-0.0898801
-0.0338807,-0.107375
-0.0169684,-0.09928
-0.0288701,-0.0847916
-0.0128729,-0.0750113
-0.000883083,-0.0605959
-0.0194029,-0.0576669
-0.0243302,-0.0757579
-0.0412652,-0.06771
-0.0303256,-0.0829379
-0.04125,-0.0981766
-0.0518302,-0.0826969
-0.0698124,-0.0773862
-0.0851009,-0.0665315
-0.100079,-0.0778109
-0.0831026,-0.0698501
-0.0974877,-0.0578239
