x,z
-0.119999,0
-0.108372,0.0045902
-0.0978871,-0.00221495
-0.0937695,-0.0140173
-0.0812954,-0.0132129
-0.0688046,-0.0127332
-0.0648325,-0.0245853
-0.0541318,-0.0310463
-0.0424829,-0.0265128
-0.0339129,-0.0356125
-0.0282862,-0.0467745
-0.0161292,-0.0438663
-0.00383742,-0.0461385
-0.00050835,-0.0581871
0.0114564,-0.0618058
0.0234226,-0.058192
0.0281926,-0.0697461
0.0318041,-0.081713
0.0442652,-0.0807282
0.05582,-0.0854965
0.0547703,-0.0979524
0.0622678,-0.107954
0.0746731,-0.106419
0.0836129,-0.115155
0.0818363,-0.127529
