x,z
-0.119999,0
-0.107808,0.00276394
-0.0961291,0.00721856
-0.0869878,-0.00130707
-0.0767263,-0.00844519
-0.0659604,-0.00209338
-0.0536799,-0.00442557
-0.046039,-0.0143183
-0.033539,-0.0143479
-0.0215305,-0.0108771
-0.0103692,-0.0165052
-0.000633573,-0.0243453
0.0118037,-0.0230948
0.0239453,-0.020123
0.0335133,-0.0281669
0.0445074,-0.0341149
0.0561985,-0.0296913
0.06866,-0.0287108
0.0757741,-0.0389889
0.0878575,-0.0421893
0.0993623,-0.0373016
0.111144,-0.041478
0.119978,-0.0503218
0.13178,-0.0544409
0.144272,-0.053992
