x,z
-0.119999,0
-0.110052,0.00756999
-0.0976143,0.00881726
-0.088122,0.000684192
-0.0768951,-0.00481198
-0.0658632,0.00106553
-0.0535517,0.00322841
-0.0443438,-0.0052253
-0.0330293,-0.0105385
-0.0219462,-0.00475792
-0.00964934,-0.00251347
-0.000517676,-0.0110494
0.0108845,-0.0161721
0.0221659,-0.0107888
0.0342547,-0.00760893
0.0418409,-0.0175437
0.0413978,-0.0300358
0.0518332,-0.0369172
0.0459111,-0.0479254
0.039513,-0.0586638
0.0278049,-0.0630424
0.0184834,-0.0713706
0.013557,-0.0828589
0.00416641,-0.0911091
-0.00473037,-0.0998896
