x,z
-0.119999,0
-0.107809,0.00276874
-0.0961285,0.00721908
-0.0869893,-0.00130878
-0.0767267,-0.00844525
-0.0659608,-0.00209351
-0.053681,-0.00442956
-0.0460418,-0.0143236
-0.0335418,-0.0143517
-0.0215332,-0.0108812
-0.0103735,-0.0165123
-0.000639088,-0.024354
0.0117981,-0.0231027
0.0239397,-0.0201309
0.033506,-0.0281768
0.0444989,-0.0341272
0.0561897,-0.0297027
0.0686511,-0.0287218
0.075763,-0.0390015
0.087846,-0.0422033
0.0993502,-0.0373141
0.111132,-0.0414908
0.119963,-0.0503372
0.131765,-0.0544571
0.144256,-0.054006
